,0,
0,447740.018915308,
1,447615.412258373,
2,447493.276846492,
3,447373.349257727,
4,447249.355504636,Not BARON
5,447140.213426932,
6,447024.540418211,
7,447125.891586898,
8,447379.679718196,
9,447637.486509783,
10,447899.462393657,
11,448165.242491485,
12,448437.569857637,
13,448713.318953224,
14,448993.593667873,
15,449278.501407172,
16,449573.549536178,
17,449862.535393224,
18,450159.969777915,
19,450462.467151425,
20,450769.99695132,
21,451082.60490183,
22,451400.629850923,
23,451723.844104213,
24,452052.755951595,
25,452387.154952153,
26,452727.433970053,
27,453073.49691412,
28,453425.713780198,
29,453784.044508122,
30,454142.567774345,Not BARON
31,454517.26817136,
32,454897.593389248,
33,455282.153855633,
34,455673.662061166,
35,456068.943630747,Not BARON
36,456475.416031106,
37,456892.860106071,
38,457312.743316454,
39,457741.63112912,
40,458178.702338534,
41,458619.153378221,Not BARON
42,1074566.61040013,Not BARON
43,459421.125116406,
44,459777.961645564,
45,460251.937890104,
46,460737.391459162,
47,461232.353614085,
48,461737.071103759,
49,462251.806641794,
50,462776.829379774,
51,463312.441900411,
52,463858.568797156,
53,464416.468595437,
54,464985.52536841,
55,465583.902731719,
56,466276.325027442,
57,466987.275316991,
58,467716.991304496,
59,468467.280904317,
60,469237.775183381,
61,470036.361875701,
62,1076772.9272551,Not BARON
63,471497.37941134,Not BARON
64,472600.02961246,
65,474396.912763285,
66,476267.810862591,Not BARON
67,478030.323806227,Not BARON
68,1079150.53070827,Not BARON
69,479096.345187937,Not BARON
70,479749.680635992,Not BARON
71,480664.79572611,Not BARON
72,481621.22206457,Not BARON
73,482575.548171522,Not BARON
74,483383.247658386,Not BARON
75,483988.232740275,Not BARON
76,484596.103746711,Not BARON
77,485221.660452016,Not BARON
78,485861.32942213,Not BARON
79,1444573.5650979,Not BARON
80,486525.652974477,Not BARON
81,487204.661543966,Not BARON
82,487857.768295441,Not BARON
83,488581.2023342,Not BARON
84,489315.908137261,Not BARON
85,490065.973003444,Not BARON
86,490828.506966743,Not BARON
87,491573.67830072,Not BARON
88,492386.368912851,Not BARON
89,493222.99631829,Not BARON
90,494140.051732061,Not BARON
91,1107858.06370641,Not BARON
92,495577.339504192,Not BARON
93,1463372.32141582,Not BARON
94,495839.196397519,Not BARON
95,496864.126369116,Not BARON
96,1500253.50126675,Not BARON
